1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Class
0,0,389548,2097686,3328296,0,0,302630,356820,294530,370902,369192,152162,0,0,129410,0,0,0,0,343740,0,0,0,0,0,0,0,0,0,328740,145320,0,0,0,0,278774,186588,0,0,0,0,0,0,0,0,0,0,0,0,413322,187464,427538,0,0,0,0,0,0,0,0,0,109458,987534,3036924,1124098,1846078,1188468,441836,0,0,0,0,0,0,0,0,0,0,583786,0,0,443954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239314,330142,0,0,0,0,0,0,0,0,523190,0,0,0,0,0,0,0,0,0,265702,167324,0,VPN
0,0,604048,2873538,2746356,0,0,526176,0,0,143680,628600,0,312096,253288,267280,0,0,0,0,0,0,0,0,0,0,0,0,0,334604,478612,121596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154068,293260,120568,479134,0,0,0,0,0,0,0,0,0,0,0,337520,116494,0,0,0,0,0,0,0,0,0,0,275150,1630686,2603988,1027488,2398448,513622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VPN
0,0,0,177204,1142864,3144198,1412182,0,492468,123232,300694,522984,174358,218058,247946,0,0,0,108498,0,357434,0,0,0,0,0,0,0,0,0,409152,0,0,0,0,0,0,0,0,438550,0,0,0,0,0,0,0,0,0,0,0,0,348250,247374,178522,280244,0,0,0,0,0,0,0,0,0,0,0,113772,171036,200562,372948,214472,0,194018,289112,0,233152,0,186018,213096,182502,113150,0,163288,156602,142200,135584,133226,100598,163292,164600,114374,142964,200196,0,126418,141742,0,128418,156410,163954,146534,0,0,0,204678,0,174936,0,150578,217914,0,0,0,0,0,0,0,0,0,VPN
0,0,0,0,295048,1109216,2456660,1871456,0,0,0,378320,235076,155206,656480,272860,191294,198290,0,0,0,0,0,0,344768,0,0,0,0,0,0,123202,353274,0,0,0,0,464560,0,0,0,0,0,0,0,0,0,0,0,600344,0,0,453598,0,0,0,0,0,0,0,0,0,0,0,0,348138,2315766,3585626,1039728,1083880,0,0,0,0,0,0,0,0,0,623202,0,325316,164494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693872,0,0,0,0,0,0,0,0,594174,0,0,0,3541258,2289570,0,0,0,0,293556,137834,0,0,VPN
0,0,0,166250,562820,1899906,1727394,667798,862422,0,142958,479728,0,147364,446436,458014,247208,166000,0,0,307896,0,0,246576,114874,317268,0,0,0,0,0,0,0,0,0,587118,0,444970,0,0,0,0,0,0,0,0,0,0,0,0,447752,0,0,0,0,0,0,0,0,0,0,0,0,0,121412,903040,3333150,2362268,945528,0,0,0,0,0,0,0,0,0,0,0,626724,0,0,0,0,0,0,0,0,0,0,0,0,0,538428,0,0,0,0,0,0,568512,0,0,0,0,0,0,0,2446450,3278656,1598072,0,0,0,0,0,624600,0,0,VPN
0,0,0,114980,512792,1714220,3117894,386350,0,0,288124,324782,150704,395860,466316,157082,173806,0,0,0,0,0,347034,0,0,0,0,0,0,0,475000,0,0,0,0,464544,0,0,0,0,0,0,0,0,0,0,0,0,599728,0,453168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440884,0,0,0,0,0,0,0,0,0,127590,1544990,1661118,0,2287158,1227814,274776,0,0,0,0,0,0,0,0,0,0,0,0,0,569408,2284450,931102,2185924,1359378,1679256,1100972,0,0,595052,0,0,0,0,0,0,0,0,0,0,431252,0,0,0,VPN
0,0,1269420,2887562,2020904,108818,529918,217258,723886,179314,522958,0,0,108520,0,0,0,348684,0,0,0,0,0,0,474336,0,0,0,0,0,0,444564,0,0,0,0,0,0,0,0,0,0,0,599330,0,453306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455474,0,0,0,0,0,0,0,0,0,0,633076,0,0,443688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575282,0,0,0,0,0,0,0,0,0,594636,0,0,0,0,0,0,0,0,0,0,544436,2967414,2558370,2725692,0,0,0,0,0,VPN
0,203434,2743708,1949752,1340246,143800,0,576492,0,378986,364298,336550,0,0,0,0,0,0,0,0,349040,0,0,0,0,0,474198,0,0,0,0,454196,0,0,0,0,0,0,0,0,0,0,0,608002,0,0,0,453444,0,0,0,0,0,0,0,0,0,0,0,0,0,455770,0,0,0,0,0,0,0,0,0,0,0,622942,0,0,0,443648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569578,0,121978,3922696,2985592,1028202,0,0,593744,0,0,0,0,0,0,0,0,0,0,430976,0,0,0,0,0,0,0,0,VPN
0,258950,2919082,3142332,0,0,585090,121640,258912,165000,490740,0,0,0,0,0,0,350276,0,0,0,0,0,0,0,0,475192,0,0,0,0,443104,0,0,0,0,0,0,0,0,0,0,0,0,599452,0,456912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454822,0,0,0,0,0,0,0,0,2647612,2860510,817494,623372,0,0,442502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574634,0,0,0,0,0,0,0,0,5728198,2188250,0,0,0,0,0,0,0,0,0,431252,0,0,0,0,0,0,0,0,VPN
0,273678,3239164,2770596,0,0,512758,155838,498950,294128,517380,0,0,0,109992,0,0,349104,0,0,0,0,0,0,0,475144,0,0,0,0,443348,0,0,0,0,0,0,0,0,0,0,0,599638,0,0,0,453582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492522,1671146,4018912,2739106,0,0,0,0,0,0,0,622942,0,0,0,443038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569684,0,0,0,0,0,0,0,0,594036,0,0,0,0,0,0,0,0,0,0,431390,0,0,0,693110,4244266,894936,0,0,VPN
0,317528,2624768,2093622,1221094,0,0,592810,0,327980,416108,306048,0,0,0,145564,0,0,0,0,349354,0,0,0,0,0,480452,0,0,0,0,453568,0,0,0,0,0,0,0,0,0,0,0,0,0,599590,0,454198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441128,0,0,3919764,2089754,1956764,0,888716,0,0,635798,0,0,0,454216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570228,0,0,0,0,0,0,0,0,594036,0,0,0,0,0,0,5830930,0,0,0,432210,0,0,0,0,0,0,0,VPN
0,132194,2120248,2119944,1773054,179524,109512,0,541616,0,735434,374102,0,0,0,134440,0,0,0,0,343586,0,0,0,0,154248,321378,0,0,0,0,0,464682,0,0,0,0,0,0,0,0,0,0,0,280500,319090,0,453306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441128,0,0,1951164,4037752,2458632,0,0,0,0,0,627082,0,0,0,443878,0,0,0,0,0,0,0,0,0,0,0,0,0,311148,259530,0,2591718,1580652,1675776,0,0,0,594158,0,0,0,0,0,0,0,0,0,0,431252,0,0,0,0,0,0,0,VPN
0,0,1310974,3744746,944450,0,584942,135542,689668,137332,562456,0,0,0,150584,0,0,348716,0,0,0,0,0,0,367870,107342,0,0,0,0,0,443348,0,0,0,0,0,0,0,0,0,0,0,599452,0,453306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448786,0,1039474,4016302,2649384,472578,0,0,0,0,0,0,632280,0,0,442640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569408,0,0,0,0,0,0,0,0,623032,0,0,0,0,0,0,0,0,0,431130,0,0,0,0,0,0,0,0,0,VPN
0,0,1282878,4161232,814932,0,592780,133804,315332,178256,517056,0,0,0,0,0,0,350628,0,0,0,0,0,0,0,475802,0,0,0,0,428428,0,0,0,0,0,0,0,0,0,0,250372,0,599330,0,418166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454312,0,0,0,0,0,0,0,0,0,0,440156,220090,330236,4105518,2678940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569684,0,0,0,0,0,0,0,0,594036,0,0,0,915010,4542428,1866682,0,0,0,0,431390,0,0,0,0,0,0,0,0,VPN
0,522922,3612268,2214336,0,287130,308968,182200,204266,320290,400766,0,213336,0,0,0,0,347460,0,0,0,0,0,0,0,474198,0,0,0,0,443242,0,0,0,0,0,0,0,0,0,0,0,599176,0,0,0,453460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465576,0,0,0,0,0,0,0,0,1807984,4723204,2996118,0,4079400,1787676,442900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569578,0,0,0,0,0,0,0,0,595180,0,0,0,0,0,0,0,0,0,0,431390,0,0,0,0,0,887460,0,0,VPN
0,0,518690,2695846,3089418,0,0,553394,0,665980,213108,350852,146726,0,121922,0,0,0,327510,0,0,0,0,0,0,0,0,0,390312,0,0,0,0,0,0,0,0,449332,0,0,0,0,0,0,0,0,0,0,0,601470,0,452908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111732,1740146,3474702,1873046,1727128,594236,0,0,0,0,0,0,636374,0,0,403402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569164,0,0,0,0,0,0,0,0,595652,0,0,0,0,0,0,0,0,0,0,0,431390,0,0,VPN
0,193778,1544810,3828832,513128,0,207300,413530,0,166606,364104,256508,255378,0,0,102796,0,0,0,0,347014,0,0,0,0,0,0,0,0,0,474214,0,0,0,0,0,0,0,444378,0,0,0,0,0,0,0,0,0,0,599760,0,0,363620,0,0,0,0,0,0,0,0,0,0,1037026,1132386,2605536,1121706,1935238,1942866,0,0,0,0,0,0,0,0,0,0,4037612,2425240,0,0,444332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571366,0,0,0,0,0,0,0,0,594036,0,0,0,0,0,0,0,0,0,431934,0,0,VPN
0,0,187120,1441330,2578300,654582,340030,488526,578684,0,605316,126224,460946,166020,276604,135920,0,0,0,0,0,0,0,316980,0,0,0,0,0,0,0,0,0,469662,0,0,0,0,0,0,464544,0,0,0,0,0,0,0,0,0,0,0,600600,0,0,453306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434236,763380,2819454,2482328,773730,0,0,0,0,0,0,629958,0,0,1874142,1523018,4311432,0,0,0,0,0,0,0,0,0,0,0,0,0,569530,0,0,0,0,0,0,0,593898,0,0,0,0,0,0,0,0,0,0,0,VPN
0,0,0,324456,1122850,2527236,797258,1006722,116734,0,220876,393734,133310,265632,634164,309692,179476,0,0,290592,0,0,242936,126730,0,360350,233340,1564218,1042784,0,0,0,0,0,460462,598604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443062,0,617180,0,0,0,0,0,0,0,0,261832,1719716,3834196,0,581662,0,0,0,0,0,0,0,0,0,0,0,0,117636,442320,0,0,0,0,0,568358,0,0,0,0,0,0,0,0,0,0,0,0,0,3445492,4920918,2396450,334656,0,0,VPN
